# Kangxi Radicals 2F00 - 2FDF
2F00	kangxiradicalone	KANGXI RADICAL ONE
2F51	kangxiradicalfur	KANGXI RADICAL FUR
2F52	kangxiradicalclan	KANGXI RADICAL CLAN
2F53	kangxiradicalsteam	KANGXI RADICAL STEAM
2F54	kangxiradicalwater	KANGXI RADICAL WATER
2F55	kangxiradicalfire	KANGXI RADICAL FIRE
2F56	kangxiradicalclaw	KANGXI RADICAL CLAW
2F57	kangxiradicalfather	KANGXI RADICAL FATHER
2F58	kangxiradicaldoublex	KANGXI RADICAL DOUBLE X
2F59	kangxiradicalhalftreetrunk	KANGXI RADICAL HALF TREE TRUNK
2F5A	kangxiradicalslice	KANGXI RADICAL SLICE
2F5B	kangxiradicalfang	KANGXI RADICAL FANG
2F5C	kangxiradicalcow	KANGXI RADICAL COW
2F5D	kangxiradicaldog	KANGXI RADICAL DOG
2F5E	kangxiradicalprofound	KANGXI RADICAL PROFOUND
2F5F	kangxiradicaljade	KANGXI RADICAL JADE
2F60	kangxiradicalmelon	KANGXI RADICAL MELON
2F61	kangxiradicaltile	KANGXI RADICAL TILE
2F62	kangxiradicalsweet	KANGXI RADICAL SWEET
2F63	kangxiradicallife	KANGXI RADICAL LIFE
2F64	kangxiradicaluse	KANGXI RADICAL USE
2F65	kangxiradicalfield	KANGXI RADICAL FIELD
2F66	kangxiradicalboltofcloth	KANGXI RADICAL BOLT OF CLOTH
2F67	kangxiradicalsickness	KANGXI RADICAL SICKNESS
2F68	kangxiradicaldottedtent	KANGXI RADICAL DOTTED TENT
2F69	kangxiradicalwhite	KANGXI RADICAL WHITE
2F6A	kangxiradicalskin	KANGXI RADICAL SKIN
2F6B	kangxiradicaldish	KANGXI RADICAL DISH
2F6C	kangxiradicaleye	KANGXI RADICAL EYE
2F6D	kangxiradicalspear	KANGXI RADICAL SPEAR
2F6E	kangxiradicalarrow	KANGXI RADICAL ARROW
2F6F	kangxiradicalstone	KANGXI RADICAL STONE
2F70	kangxiradicalspirit	KANGXI RADICAL SPIRIT
2F71	kangxiradicaltrack	KANGXI RADICAL TRACK
2F72	kangxiradicalgrain	KANGXI RADICAL GRAIN
2F73	kangxiradicalcave	KANGXI RADICAL CAVE
2F74	kangxiradicalstand	KANGXI RADICAL STAND
2F75	kangxiradicalbamboo	KANGXI RADICAL BAMBOO
2F76	kangxiradicalrice	KANGXI RADICAL RICE
2F77	kangxiradicalsilk	KANGXI RADICAL SILK
2F78	kangxiradicaljar	KANGXI RADICAL JAR
2F79	kangxiradicalnet	KANGXI RADICAL NET
2F7A	kangxiradicalsheep	KANGXI RADICAL SHEEP
2F7B	kangxiradicalfeather	KANGXI RADICAL FEATHER
2F7C	kangxiradicalold	KANGXI RADICAL OLD
2F7D	kangxiradicaland	KANGXI RADICAL AND
2F7E	kangxiradicalplow	KANGXI RADICAL PLOW
2F7F	kangxiradicalear	KANGXI RADICAL EAR
2F80	kangxiradicalbrush	KANGXI RADICAL BRUSH
2F81	kangxiradicalmeat	KANGXI RADICAL MEAT
2F82	kangxiradicalminister	KANGXI RADICAL MINISTER
2F83	kangxiradicalself	KANGXI RADICAL SELF
2F84	kangxiradicalarrive	KANGXI RADICAL ARRIVE
2F85	kangxiradicalmortar	KANGXI RADICAL MORTAR
2F86	kangxiradicaltongue	KANGXI RADICAL TONGUE
2F87	kangxiradicaloppose	KANGXI RADICAL OPPOSE
2F88	kangxiradicalboat	KANGXI RADICAL BOAT
2F89	kangxiradicalstopping	KANGXI RADICAL STOPPING
2F8A	kangxiradicalcolor	KANGXI RADICAL COLOR
2F8B	kangxiradicalgrass	KANGXI RADICAL GRASS
2F8C	kangxiradicaltiger	KANGXI RADICAL TIGER
2F8D	kangxiradicalinsect	KANGXI RADICAL INSECT
2F8E	kangxiradicalblood	KANGXI RADICAL BLOOD
2F8F	kangxiradicalwalkenclosure	KANGXI RADICAL WALK ENCLOSURE
2F90	kangxiradicalclothes	KANGXI RADICAL CLOTHES
2F91	kangxiradicalwest	KANGXI RADICAL WEST
2F92	kangxiradicalsee	KANGXI RADICAL SEE
2F93	kangxiradicalhorn	KANGXI RADICAL HORN
2F94	kangxiradicalspeech	KANGXI RADICAL SPEECH
2F95	kangxiradicalvalley	KANGXI RADICAL VALLEY
2F96	kangxiradicalbean	KANGXI RADICAL BEAN
2F97	kangxiradicalpig	KANGXI RADICAL PIG
2F98	kangxiradicalbadger	KANGXI RADICAL BADGER
2F99	kangxiradicalshell	KANGXI RADICAL SHELL
2F9A	kangxiradicalred	KANGXI RADICAL RED
2F9B	kangxiradicalrun	KANGXI RADICAL RUN
2F9C	kangxiradicalfoot	KANGXI RADICAL FOOT
2F9D	kangxiradicalbody	KANGXI RADICAL BODY
2F9E	kangxiradicalcart	KANGXI RADICAL CART
2F9F	kangxiradicalbitter	KANGXI RADICAL BITTER
2FA0	kangxiradicalmorning	KANGXI RADICAL MORNING
2FA1	kangxiradicalwalk	KANGXI RADICAL WALK
2FA2	kangxiradicalcity	KANGXI RADICAL CITY
2FA3	kangxiradicalwine	KANGXI RADICAL WINE
2FA4	kangxiradicaldistinguish	KANGXI RADICAL DISTINGUISH
2FA5	kangxiradicalvillage	KANGXI RADICAL VILLAGE
2FA6	kangxiradicalgold	KANGXI RADICAL GOLD
2FA7	kangxiradicallong	KANGXI RADICAL LONG
2FA8	kangxiradicalgate	KANGXI RADICAL GATE
2FA9	kangxiradicalmound	KANGXI RADICAL MOUND
2FAA	kangxiradicalslave	KANGXI RADICAL SLAVE
2FAB	kangxiradicalshorttailedbird	KANGXI RADICAL SHORT TAILED BIRD
2FAC	kangxiradicalrain	KANGXI RADICAL RAIN
2FAD	kangxiradicalblue	KANGXI RADICAL BLUE
2FAE	kangxiradicalwrong	KANGXI RADICAL WRONG
2FAF	kangxiradicalface	KANGXI RADICAL FACE
2FB0	kangxiradicalleather	KANGXI RADICAL LEATHER
2FB1	kangxiradicaltannedleather	KANGXI RADICAL TANNED LEATHER
2FB2	kangxiradicalleek	KANGXI RADICAL LEEK
2FB3	kangxiradicalsound	KANGXI RADICAL SOUND
2FB4	kangxiradicalleaf	KANGXI RADICAL LEAF
2FB5	kangxiradicalwind	KANGXI RADICAL WIND
2FB6	kangxiradicalfly	KANGXI RADICAL FLY
2FB7	kangxiradicaleat	KANGXI RADICAL EAT
2FB8	kangxiradicalhead	KANGXI RADICAL HEAD
2FB9	kangxiradicalfragrant	KANGXI RADICAL FRAGRANT
2FBA	kangxiradicalhorse	KANGXI RADICAL HORSE
2FBB	kangxiradicalbone	KANGXI RADICAL BONE
2FBC	kangxiradicaltall	KANGXI RADICAL TALL
2FBD	kangxiradicalhair	KANGXI RADICAL HAIR
2FBE	kangxiradicalfight	KANGXI RADICAL FIGHT
2FBF	kangxiradicalsacrificialwine	KANGXI RADICAL SACRIFICIAL WINE
2FC0	kangxiradicalcauldron	KANGXI RADICAL CAULDRON
2FC1	kangxiradicalghost	KANGXI RADICAL GHOST
2FC2	kangxiradicalfish	KANGXI RADICAL FISH
2FC3	kangxiradicalbird	KANGXI RADICAL BIRD
2FC4	kangxiradicalsalt	KANGXI RADICAL SALT
2FC5	kangxiradicaldeer	KANGXI RADICAL DEER
2FC6	kangxiradicalwheat	KANGXI RADICAL WHEAT
2FC7	kangxiradicalhemp	KANGXI RADICAL HEMP
2FC8	kangxiradicalyellow	KANGXI RADICAL YELLOW
2FC9	kangxiradicalmillet	KANGXI RADICAL MILLET
2FCA	kangxiradicalblack	KANGXI RADICAL BLACK
2FCB	kangxiradicalembroidery	KANGXI RADICAL EMBROIDERY
2FCC	kangxiradicalfrog	KANGXI RADICAL FROG
2FCD	kangxiradicaltripod	KANGXI RADICAL TRIPOD
2FCE	kangxiradicaldrum	KANGXI RADICAL DRUM
2FCF	kangxiradicalrat	KANGXI RADICAL RAT
2FD0	kangxiradicalnose	KANGXI RADICAL NOSE
2FD1	kangxiradicaleven	KANGXI RADICAL EVEN
2FD2	kangxiradicaltooth	KANGXI RADICAL TOOTH
2FD3	kangxiradicaldragon	KANGXI RADICAL DRAGON
2FD4	kangxiradicalturtle	KANGXI RADICAL TURTLE
2FD5	kangxiradicalflute	KANGXI RADICAL FLUTE
