# Vai A500 - A63F
A500	vaisyllableee	VAI SYLLABLE EE
A57E	vaisyllablevoo	VAI SYLLABLE VOO
A57F	vaisyllabletoo	VAI SYLLABLE TOO
A580	vaisyllablethoo	VAI SYLLABLE THOO
A581	vaisyllabledhoo	VAI SYLLABLE DHOO
A582	vaisyllabledhhoo	VAI SYLLABLE DHHOO
A583	vaisyllableloo	VAI SYLLABLE LOO
A584	vaisyllableroo	VAI SYLLABLE ROO
A585	vaisyllabledoo	VAI SYLLABLE DOO
A586	vaisyllablendoo	VAI SYLLABLE NDOO
A587	vaisyllablesoo	VAI SYLLABLE SOO
A588	vaisyllableshoo	VAI SYLLABLE SHOO
A589	vaisyllablezoo	VAI SYLLABLE ZOO
A58A	vaisyllablezhoo	VAI SYLLABLE ZHOO
A58B	vaisyllablecoo	VAI SYLLABLE COO
A58C	vaisyllablejoo	VAI SYLLABLE JOO
A58D	vaisyllablenjoo	VAI SYLLABLE NJOO
A58E	vaisyllableyoo	VAI SYLLABLE YOO
A58F	vaisyllablekoo	VAI SYLLABLE KOO
A590	vaisyllablenggoo	VAI SYLLABLE NGGOO
A591	vaisyllablegoo	VAI SYLLABLE GOO
A592	vaisyllablemoo	VAI SYLLABLE MOO
A593	vaisyllablenoo	VAI SYLLABLE NOO
A594	vaisyllablenyoo	VAI SYLLABLE NYOO
A595	vaisyllableu	VAI SYLLABLE U
A596	vaisyllableun	VAI SYLLABLE UN
A597	vaisyllablehu	VAI SYLLABLE HU
A598	vaisyllablehun	VAI SYLLABLE HUN
A599	vaisyllablewu	VAI SYLLABLE WU
A59A	vaisyllablewun	VAI SYLLABLE WUN
A59B	vaisyllablepu	VAI SYLLABLE PU
A59C	vaisyllablebhu	VAI SYLLABLE BHU
A59D	vaisyllablebu	VAI SYLLABLE BU
A59E	vaisyllablembu	VAI SYLLABLE MBU
A59F	vaisyllablekpu	VAI SYLLABLE KPU
A5A0	vaisyllablemgbu	VAI SYLLABLE MGBU
A5A1	vaisyllablegbu	VAI SYLLABLE GBU
A5A2	vaisyllablefu	VAI SYLLABLE FU
A5A3	vaisyllablevu	VAI SYLLABLE VU
A5A4	vaisyllabletu	VAI SYLLABLE TU
A5A5	vaisyllablethu	VAI SYLLABLE THU
A5A6	vaisyllabledhu	VAI SYLLABLE DHU
A5A7	vaisyllabledhhu	VAI SYLLABLE DHHU
A5A8	vaisyllablelu	VAI SYLLABLE LU
A5A9	vaisyllableru	VAI SYLLABLE RU
A5AA	vaisyllabledu	VAI SYLLABLE DU
A5AB	vaisyllablendu	VAI SYLLABLE NDU
A5AC	vaisyllablesu	VAI SYLLABLE SU
A5AD	vaisyllableshu	VAI SYLLABLE SHU
A5AE	vaisyllablezu	VAI SYLLABLE ZU
A5AF	vaisyllablezhu	VAI SYLLABLE ZHU
A5B0	vaisyllablecu	VAI SYLLABLE CU
A5B1	vaisyllableju	VAI SYLLABLE JU
A5B2	vaisyllablenju	VAI SYLLABLE NJU
A5B3	vaisyllableyu	VAI SYLLABLE YU
A5B4	vaisyllableku	VAI SYLLABLE KU
A5B5	vaisyllablenggu	VAI SYLLABLE NGGU
A5B6	vaisyllablegu	VAI SYLLABLE GU
A5B7	vaisyllablemu	VAI SYLLABLE MU
A5B8	vaisyllablenu	VAI SYLLABLE NU
A5B9	vaisyllablenyu	VAI SYLLABLE NYU
A5BA	vaisyllableo	VAI SYLLABLE O
A5BB	vaisyllableon	VAI SYLLABLE ON
A5BC	vaisyllablengon	VAI SYLLABLE NGON
A5BD	vaisyllableho	VAI SYLLABLE HO
A5BE	vaisyllablehon	VAI SYLLABLE HON
A5BF	vaisyllablewo	VAI SYLLABLE WO
A5C0	vaisyllablewon	VAI SYLLABLE WON
A5C1	vaisyllablepo	VAI SYLLABLE PO
A5C2	vaisyllablebho	VAI SYLLABLE BHO
A5C3	vaisyllablebo	VAI SYLLABLE BO
A5C4	vaisyllablembo	VAI SYLLABLE MBO
A5C5	vaisyllablekpo	VAI SYLLABLE KPO
A5C6	vaisyllablemgbo	VAI SYLLABLE MGBO
A5C7	vaisyllablegbo	VAI SYLLABLE GBO
A5C8	vaisyllablegbon	VAI SYLLABLE GBON
A5C9	vaisyllablefo	VAI SYLLABLE FO
A5CA	vaisyllablevo	VAI SYLLABLE VO
A5CB	vaisyllableto	VAI SYLLABLE TO
A5CC	vaisyllabletho	VAI SYLLABLE THO
A5CD	vaisyllabledho	VAI SYLLABLE DHO
A5CE	vaisyllabledhho	VAI SYLLABLE DHHO
A5CF	vaisyllablelo	VAI SYLLABLE LO
A5D0	vaisyllablero	VAI SYLLABLE RO
A5D1	vaisyllabledo	VAI SYLLABLE DO
A5D2	vaisyllablendo	VAI SYLLABLE NDO
A5D3	vaisyllableso	VAI SYLLABLE SO
A5D4	vaisyllablesho	VAI SYLLABLE SHO
A5D5	vaisyllablezo	VAI SYLLABLE ZO
A5D6	vaisyllablezho	VAI SYLLABLE ZHO
A5D7	vaisyllableco	VAI SYLLABLE CO
A5D8	vaisyllablejo	VAI SYLLABLE JO
A5D9	vaisyllablenjo	VAI SYLLABLE NJO
A5DA	vaisyllableyo	VAI SYLLABLE YO
A5DB	vaisyllableko	VAI SYLLABLE KO
A5DC	vaisyllablenggo	VAI SYLLABLE NGGO
A5DD	vaisyllablego	VAI SYLLABLE GO
A5DE	vaisyllablemo	VAI SYLLABLE MO
A5DF	vaisyllableno	VAI SYLLABLE NO
A5E0	vaisyllablenyo	VAI SYLLABLE NYO
A5E1	vaisyllablee	VAI SYLLABLE E
A5E2	vaisyllableen	VAI SYLLABLE EN
A5E3	vaisyllablengen	VAI SYLLABLE NGEN
A5E4	vaisyllablehe	VAI SYLLABLE HE
A5E5	vaisyllablehen	VAI SYLLABLE HEN
A5E6	vaisyllablewe	VAI SYLLABLE WE
A5E7	vaisyllablewen	VAI SYLLABLE WEN
A5E8	vaisyllablepe	VAI SYLLABLE PE
A5E9	vaisyllablebhe	VAI SYLLABLE BHE
A5EA	vaisyllablebe	VAI SYLLABLE BE
A5EB	vaisyllablembe	VAI SYLLABLE MBE
A5EC	vaisyllablekpe	VAI SYLLABLE KPE
A5ED	vaisyllablekpen	VAI SYLLABLE KPEN
A5EE	vaisyllablemgbe	VAI SYLLABLE MGBE
A5EF	vaisyllablegbe	VAI SYLLABLE GBE
A5F0	vaisyllablegben	VAI SYLLABLE GBEN
A5F1	vaisyllablefe	VAI SYLLABLE FE
A5F2	vaisyllableve	VAI SYLLABLE VE
A5F3	vaisyllablete	VAI SYLLABLE TE
A5F4	vaisyllablethe	VAI SYLLABLE THE
A5F5	vaisyllabledhe	VAI SYLLABLE DHE
A5F6	vaisyllabledhhe	VAI SYLLABLE DHHE
A5F7	vaisyllablele	VAI SYLLABLE LE
A5F8	vaisyllablere	VAI SYLLABLE RE
A5F9	vaisyllablede	VAI SYLLABLE DE
A5FA	vaisyllablende	VAI SYLLABLE NDE
A5FB	vaisyllablese	VAI SYLLABLE SE
A5FC	vaisyllableshe	VAI SYLLABLE SHE
A5FD	vaisyllableze	VAI SYLLABLE ZE
A5FE	vaisyllablezhe	VAI SYLLABLE ZHE
A5FF	vaisyllablece	VAI SYLLABLE CE
A600	vaisyllableje	VAI SYLLABLE JE
A601	vaisyllablenje	VAI SYLLABLE NJE
A602	vaisyllableye	VAI SYLLABLE YE
A603	vaisyllableke	VAI SYLLABLE KE
A604	vaisyllablengge	VAI SYLLABLE NGGE
A605	vaisyllablenggen	VAI SYLLABLE NGGEN
A606	vaisyllablege	VAI SYLLABLE GE
A607	vaisyllablegen	VAI SYLLABLE GEN
A608	vaisyllableme	VAI SYLLABLE ME
A609	vaisyllablene	VAI SYLLABLE NE
A60A	vaisyllablenye	VAI SYLLABLE NYE
A60B	vaisyllableng	VAI SYLLABLE NG
A60C	vaisyllablelengthener	VAI SYLLABLE LENGTHENER
A60D	vaicomma	VAI COMMA
A60E	vaifullstop	VAI FULL STOP
A60F	vaiquestionmark	VAI QUESTION MARK
A610	vaisyllablendolefa	VAI SYLLABLE NDOLE FA
A611	vaisyllablendoleka	VAI SYLLABLE NDOLE KA
A612	vaisyllablendolesoo	VAI SYLLABLE NDOLE SOO
A613	vaisymbolfeeng	VAI SYMBOL FEENG
A614	vaisymbolkeeng	VAI SYMBOL KEENG
A615	vaisymbolting	VAI SYMBOL TING
A616	vaisymbolnii	VAI SYMBOL NII
A617	vaisymbolbang	VAI SYMBOL BANG
A618	vaisymbolfaa	VAI SYMBOL FAA
A619	vaisymboltaa	VAI SYMBOL TAA
A61A	vaisymboldang	VAI SYMBOL DANG
A61B	vaisymboldoong	VAI SYMBOL DOONG
A61C	vaisymbolkung	VAI SYMBOL KUNG
A61D	vaisymboltong	VAI SYMBOL TONG
A61E	vaisymboldoo	VAI SYMBOL DO-O
A61F	vaisymboljong	VAI SYMBOL JONG
A620	vaidigitzero	VAI DIGIT ZERO
A621	vaidigitone	VAI DIGIT ONE
A622	vaidigittwo	VAI DIGIT TWO
A623	vaidigitthree	VAI DIGIT THREE
A624	vaidigitfour	VAI DIGIT FOUR
A625	vaidigitfive	VAI DIGIT FIVE
A626	vaidigitsix	VAI DIGIT SIX
A627	vaidigitseven	VAI DIGIT SEVEN
A628	vaidigiteight	VAI DIGIT EIGHT
A629	vaidigitnine	VAI DIGIT NINE
A62A	vaisyllablendolema	VAI SYLLABLE NDOLE MA
A62B	vaisyllablendoledo	VAI SYLLABLE NDOLE DO
